ID;"Active (0/1)";"Name *";"Parent category";"Root category (0/1)";Description;"Meta title";"Meta keywords";"Meta description";"URL rewritten";"Image URL"
;1;;;0;;;;;" ";
;1;;;0;;;;;" ";https://ferreteria.es/media/catalog/category/protectores-de-sartenes.jpg
;1;;;0;;;;;" ";https://ferreteria.es/media/catalog/category/tapas-para-sartenes.jpg
;1;;;0;;;;;" ";
;1;;;0;;;;;" ";
;1;;;0;;;;;" ";
;1;;;0;;;;;" ";
;1;;;0;;;;;" ";https://ferreteria.es/media/catalog/category/packs-especiales_2.jpg
;1;;;0;;;;;" ";https://ferreteria.es/media/catalog/category/conjuntos-de-sartenes.jpg
;1;;;0;;;;;" ";https://ferreteria.es/media/catalog/category/sartenes-de-induccion.jpg
;1;;;0;;;;;" ";https://ferreteria.es/media/catalog/category/sartenes-para-gas-y-vitroceramica.jpg
;1;;;0;;;;;" ";https://ferreteria.es/media/catalog/category/sarten-titanio-induction-woll.jpg
;1;;;0;;;;;" ";https://ferreteria.es/media/catalog/category/sarten-de-hierro-de-buyer_3.jpg
;1;;;0;;;;;" ";https://ferreteria.es/media/catalog/category/woks.jpg
;1;;;0;;;;;" ";https://ferreteria.es/media/catalog/category/asador_castey_induccion_40cm_mango_desmontable_negro.jpg
;1;;;0;;;;;" ";https://ferreteria.es/media/catalog/category/grill-castey-fundix-con-mango-kiwi.jpg
;1;;;0;;;;;" ";https://ferreteria.es/media/catalog/category/planchas-y-asadores-bandeja.jpg
;1;;;0;;;;;" ";
;1;;;0;;;;;" ";
;1;;;0;;;;;" ";
;1;;;0;;;;;" ";
37;1;"Cubos de basura y reciclaje";2;0;"Cubos de basura y reciclaje";"Cubos de basura y reciclaje";"Cubos de basura y reciclaje";"Cubos de basura y reciclaje";" ";" "
38;1;"Cubos de basura 1 residuo";37;0;"Cubos de basura 1 residuo";"Cubos de basura 1 residuo";"Cubos de basura 1 residuo";"Cubos de basura 1 residuo";" ";
39;1;"Cubos de reciclaje doméstico";37;0;"Cubos de reciclaje doméstico";"Cubos de reciclaje doméstico";"Cubos de reciclaje doméstico";"Cubos de reciclaje doméstico";" ";
40;1;"Cubos de basura para el baño";37;0;"Cubos de basura para el baño";"Cubos de basura para el baño";"Cubos de basura para el baño";"Cubos de basura para el baño";" ";
41;1;"Contenedores reciclaje industrial";37;0;"Contenedores reciclaje industrial";"Contenedores reciclaje industrial";"Contenedores reciclaje industrial";"Contenedores reciclaje industrial";" ";
42;1;"Barreños y cubos de goma";37;0;"Barreños y cubos de goma";"Barreños y cubos de goma";"Barreños y cubos de goma";"Barreños y cubos de goma";" ";
43;1;"Bolsas de basura";37;0;"Bolsas de basura";"Bolsas de basura";"Bolsas de basura";"Bolsas de basura";" ";
;1;;;0;;;;;" ";https://ferreteria.es/media/catalog/category/ollas-y-cacerolas.jpg
;1;;;0;;;;;" ";https://ferreteria.es/media/catalog/category/ollas-a-presion_1.jpg
;1;;;0;;;;;" ";https://ferreteria.es/media/catalog/category/cacerolas_y_cazos_1.jpg
;1;;;0;;;;;" ";https://ferreteria.es/media/catalog/category/cocottes_1.jpg
;1;;;0;;;;;" ";https://ferreteria.es/media/catalog/category/cazuelas-de-barro_1.jpg
;1;;;0;;;;;" ";https://ferreteria.es/media/catalog/category/paellas_y_paelleras.jpg
;1;;;0;;;;;" ";
;1;;;0;;;;;" ";
;1;;;0;;;;;" ";
;1;;;0;;;;;" ";
;1;;;0;;;;;" ";
;1;;;0;;;;;" ";
;1;;;0;;;;;" ";
;1;;;0;;;;;" ";
;1;;;0;;;;;" ";
;1;;;0;;;;;" ";
;1;;;0;;;;;" ";
;1;;;0;;;;;" ";
;1;;;0;;;;;" ";https://ferreteria.es/media/catalog/category/bater_as_de_cocina.jpg
;1;;;0;;;;;" ";https://ferreteria.es/media/catalog/category/Pote_con_asa_inox.jpg
;1;;;0;;;;;" ";https://ferreteria.es/media/catalog/category/Cazo_Recto_Basic_Lacor.jpg
;1;;;0;;;;;" ";https://ferreteria.es/media/catalog/category/tapas-sueltas-y-_recambios-para-olla.jpg
44;1;"Cuchillos y tijeras";2;0;"Cuchillos y tijeras";"Cuchillos y tijeras";"Cuchillos y tijeras";"Cuchillos y tijeras";" ";" "
45;1;"Cuchillos de cocineros";44;0;"Cuchillos de cocineros";"Cuchillos de cocineros";"Cuchillos de cocineros";"Cuchillos de cocineros";" ";
